simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0809649	18999	274.461
40	1160	23	0	109.109	4.02846e-05	7.30081
80	1160	0	0	91.3438	8.58409e-14	0.029912
120	1160	0	0	91.5273	1.82915e-22	0.000122552
160	1160	0	0	91.23	3.89766e-31	5.02105e-07
200	1160	0	0	91.1101	8.30536e-40	2.05716e-09
240	1160	0	0	91.1307	1.76975e-48	8.42837e-12
280	1160	0	0	91.221	3.7711e-57	3.45317e-14
320	1160	0	0	90.7719	8.03568e-66	1.41479e-16
360	1160	0	0	91.2762	1.71229e-74	5.79651e-19
400	1160	0	0	91.0563	3.64865e-83	2.37488e-21
440	1160	0	0	91.0363	7.77476e-92	9.73007e-24
480	1160	0	0	99.9891	1.65669e-100	438.12
520	1160	0	0	99.7222	3.53018e-109	3.68099
560	1160	0	0	90.8828	7.52231e-118	0.0150813
600	1160	0	0	90.4883	1.6029e-126	6.17894e-05
640	1160	0	0	90.9954	3.41555e-135	2.53156e-07
680	1160	0	0	91.2505	7.27806e-144	1.0372e-09
720	1160	0	0	91.1656	1.55085e-152	4.24949e-12
760	1160	0	0	91.0675	3.30465e-161	1.74105e-14
800	1160	0	0	90.4859	7.04173e-170	7.13323e-17
840	1160	0	0	90.9965	1.50049e-178	2.92254e-19
880	1160	0	0	91.2499	3.19734e-187	1.19739e-21
920	1160	0	0	92.1755	6.81309e-196	4.9058e-24
960	1160	0	0	107.551	1.45177e-204	449.402
1000	1160	0	0	91.5341	3.09352e-213	1.8515
1040	1160	0	0	91.4331	6.59186e-222	0.00758575
1080	1160	0	0	92.4993	1.40463e-230	3.10794e-05
1120	1160	0	0	91.2324	2.99308e-239	1.27335e-07
1160	1160	0	0	91.3377	6.37782e-248	5.21702e-10
1200	1160	0	0	91.7855	1.35902e-256	2.13745e-12
1240	1160	0	0	91.615	2.89589e-265	8.75732e-15
1280	1160	0	0	91.2192	6.17073e-274	3.58794e-17
1320	1160	0	0	91.3082	1.3149e-282	1.47001e-19
1360	1160	0	0	92.4699	2.80186e-291	6.02274e-22
1400	1160	0	0	91.3472	5.97037e-300	2.46757e-24
1440	1160	0	0	105.842	0	227.305
1440.02	1160	0	0	0.128944	0	226.681
