Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
80;0;-50.991;-2.17803;-82.9696;9.05657;3111.58;5.42911;0;0;1.89503e-05;0.01;0;2.77565;101;0;-1-1;-1
80;1;-36.3885;-29.53;-85.718;10.5398;4904.35;6.31811;0;0;1.89503e-05;0.01;0;4.27224;101;0;-1-1;-1
80;2;-34.1978;-13.2552;-88.9482;9.10978;3166.74;5.45936;0;0;1.89503e-05;0.01;0;3.51528;101;0;-1-1;-1
80;3;-34.3247;1.76545;-82.8739;9.5499;3648.26;5.72498;0;0;1.89503e-05;0.01;0;4.9615;101;0;-1-1;-1
80;4;-35.756;19.766;-84.2033;10.7115;5148.03;6.41969;0;0;1.89503e-05;0.01;0;4.34986;101;0;-1-1;-1
80;5;-20.638;-40.1124;-88.2695;9.96912;4150.11;5.97534;0;0;1.89503e-05;0.01;0;4.147;101;0;-1-1;-1
80;6;-20.1543;-23.7401;-84.1033;9.33415;3406.54;5.59415;0;0;1.89503e-05;0.01;0;6.22195;101;0;-1-1;-1
80;7;-20.7609;-7.18585;-83.1659;9.27365;3340.72;5.55907;0;0;1.89503e-05;0.01;0;5.50618;101;0;-1-1;-1
80;8;-20.4879;11.3453;-83.8403;9.55714;3656.56;5.72771;0;0;1.89503e-05;0.01;0;5.41298;101;0;-1-1;-1
80;9;-20.3248;28.3646;-83.6356;9.73093;3859.68;5.8326;0;0;1.89503e-05;0.01;0;4.97723;101;0;-1-1;-1
80;10;-7.27416;-45.796;-80.2302;8.78941;2844.25;5.26809;0;0;2.36878e-05;0.01;0;5.51137;101;0;-1-1;-1
80;11;-5.82991;-31.4335;-86.1911;9.89785;4061.73;5.93238;0;0;1.89503e-05;0.01;0;5.54051;101;0;-1-1;-1
80;12;-6.44437;-15.1065;-84.7628;9.52418;3618.86;5.70954;0;0;1.89503e-05;0.01;0;5.58158;101;0;-1-1;-1
80;13;-5.88644;1.7809;-87.4536;10.9403;5484.93;6.55889;0;0;1.89503e-05;0.01;0;4.74514;101;0;-1-1;-1
80;14;-5.06799;19.4691;-84.9233;10.8769;5390.25;6.51878;0;0;1.89503e-05;0.01;0;5.40488;101;0;-1-1;-1
80;15;-5.16024;37.1468;-85.2041;10.3654;4664.9;6.21369;0;0;1.89503e-05;0.01;0;4.16778;101;0;-1-1;-1
80;16;8.49399;-41.8608;-83.905;10.7746;5239.58;6.45852;0;0;1.89503e-05;0.01;0;5.49473;101;0;-1-1;-1
80;17;9.33649;-22.7393;-85.6991;10.7772;5243.35;6.46025;0;0;1.89503e-05;0.01;0;5.97353;101;0;-1-1;-1
80;18;11.4516;-5.99586;-84.6426;9.40111;3480.38;5.63605;0;0;1.89503e-05;0.01;0;4.04703;101;0;-1-1;-1
80;19;9.72079;10.7378;-83.5455;9.33697;3409.62;5.59764;0;0;1.89503e-05;0.01;0;5.17171;101;0;-1-1;-1
80;20;9.9983;27.8013;-83.936;9.45285;3538.15;5.66699;0;0;1.89503e-05;0.01;0;4.49084;101;0;-1-1;-1
80;21;10.0019;46.193;-86.3231;11.0001;5575.42;6.59379;0;0;1.89503e-05;0.01;0;3.87159;101;0;-1-1;-1
80;22;24.2639;-50.3854;-82.8992;10.0824;4293.23;6.04406;0;0;1.89503e-05;0.01;0;2.76403;101;0;-1-1;-1
80;23;24.6113;-32.8825;-86.6072;10.7587;5216.41;6.44866;0;0;1.89503e-05;0.01;0;4.13403;101;0;-1-1;-1
80;24;24.5936;-15.681;-82.8858;9.07668;3132.34;5.43983;0;0;1.89503e-05;0.01;0;6.04535;101;0;-1-1;-1
80;25;24.1734;2.62732;-84.0448;9.18739;3248.37;5.50794;0;0;1.89503e-05;0.01;0;5.91469;101;0;-1-1;-1
80;26;23.9467;18.9923;-84.2477;9.49949;3590.79;5.69421;0;0;1.89503e-05;0.01;0;5.24936;101;0;-1-1;-1
80;27;25.009;36.8328;-85.2321;10.5082;4860.41;6.29857;0;0;1.89503e-05;0.01;0;4.04195;101;0;-1-1;-1
80;28;40.2229;-41.0392;-84.7835;10.6694;5087.54;6.39561;0;0;1.89503e-05;0.01;0;2.49684;101;0;-1-1;-1
80;29;38.4833;-23.8564;-83.0919;9.07889;3134.64;5.44152;0;0;1.89503e-05;0.01;0;4.90837;101;0;-1-1;-1
80;30;38.8917;-6.75429;-85.7677;10.879;5393.24;6.52079;0;0;1.89503e-05;0.01;0;3.71622;101;0;-1-1;-1
80;31;39.6846;10.0054;-85.8813;10.9158;5448.2;6.54221;0;0;1.89503e-05;0.01;0;3.84331;101;0;-1-1;-1
80;32;40.3438;28.3257;-86.2893;10.7583;5215.79;6.44804;0;0;1.89503e-05;0.01;0;2.69266;101;0;-1-1;-1
80;33;-72.6526;-15.3233;-70.1061;10.0769;4286.19;6.04015;0;0;1.89503e-05;0.01;0;2.85285;101;0;-1-1;-1
80;34;-58.705;-41.9986;-70.0056;10.6456;5053.52;6.38133;0;0;1.89503e-05;0.01;0;3.72535;101;0;-1-1;-1
80;35;-57.9718;-24.2273;-69.7282;9.95375;4130.93;5.96675;0;0;1.89503e-05;0.01;0;5.37247;101;0;-1-1;-1
80;36;-57.9396;-7.52597;-69.5615;9.05846;3113.52;5.42873;0;0;1.89503e-05;0.01;0;6.18141;101;0;-1-1;-1
80;37;-58.5519;9.72256;-72.5299;11.0791;5696.37;6.64047;0;0;1.89503e-05;0.01;0;4.2726;101;0;-1-1;-1
80;38;-58.1501;26.6411;-71.33;9.0872;3143.25;5.44797;0;0;1.89503e-05;0.01;0;3.75619;101;0;-1-1;-1
80;39;-56.9865;43.3169;-69.7301;10.1858;4426.6;6.10384;0;0;1.89503e-05;0.01;0;3.92518;101;0;-1-1;-1
80;40;-44.3249;-52.4129;-70.7969;9.7067;3830.93;5.8188;0;0;1.89503e-05;0.01;0;3.20855;101;0;-1-1;-1
80;41;-42.6223;-33.2236;-69.1823;10.1109;4329.68;6.06054;0;0;1.89503e-05;0.01;0;6.54227;101;0;-1-1;-1
80;42;-43.3563;-15.0167;-74.3346;11.1408;5792.13;6.67605;0;0;1.89503e-05;0.01;0;7.28839;101;0;-1-1;-1
80;43;-43.0315;1.53467;-69.6597;9.08033;3136.13;5.44268;0;0;1.89503e-05;0.01;0;7.2836;101;0;-1-1;-1
80;44;-44.0047;18.3804;-69.4822;9.07615;3131.8;5.44065;0;0;1.89503e-05;0.01;0;6.92363;101;0;-1-1;-1
80;45;-43.3675;35.3655;-77.861;10.1388;4365.65;6.07707;0;0;1.89503e-05;0.01;0;4.67212;101;0;-1-1;-1
80;46;-43.4078;52.4552;-70.9939;9.08641;3142.43;5.4462;0;0;1.89503e-05;0.01;0;4.19538;101;0;-1-1;-1
80;47;-28.9152;-59.5318;-71.9208;9.2939;3362.66;5.56957;0;0;1.89503e-05;0.01;0;3.76572;101;0;-1-1;-1
80;48;-26.9686;-36.5812;-74.682;8.81915;2873.22;5.28553;0;0;2.36878e-05;0.01;0;5.69198;101;0;-1-1;-1
80;49;-28.3922;-22.1116;-71.5703;9.39264;3470.97;5.62985;0;0;1.89503e-05;0.01;0;7.33903;101;0;-1-1;-1
80;50;-28.8749;-5.98775;-68.8129;9.07498;3130.59;5.43968;0;0;1.89503e-05;0.01;0;6.54296;101;0;-1-1;-1
80;51;-29.3423;10.8602;-69.5298;9.97978;4163.43;5.98227;0;0;1.89503e-05;0.01;0;7.37385;101;0;-1-1;-1
80;52;-29.6504;28.6719;-68.6028;10.7465;5198.58;6.44206;0;0;1.89503e-05;0.01;0;8.1552;101;0;-1-1;-1
80;53;-28.9266;45.0936;-74.5273;9.96018;4138.95;5.97008;0;0;1.89503e-05;0.01;0;5.32873;101;0;-1-1;-1
80;54;-29.618;62.6033;-72.0515;10.4774;4817.82;6.28174;0;0;1.89503e-05;0.01;0;3.95708;101;0;-1-1;-1
80;55;-13.3786;-66.1201;-70.0404;10.5733;4951.34;6.33825;0;0;1.89503e-05;0.01;0;3.1997;101;0;-1-1;-1
80;56;-15.947;-48.7697;-68.8732;9.084;3139.93;5.44568;0;0;1.89503e-05;0.01;0;6.0743;101;0;-1-1;-1
80;57;-13.4847;-32.1553;-70.6252;9.53253;3628.38;5.71231;0;0;1.89503e-05;0.01;0;7.65396;101;0;-1-1;-1
